Date : 2024-02-12 15:20:32
Directory : /Users/sas/Desktop/web
Total : 110 files,  19816 codes, 324 comments, 846 blanks, all 20986 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        100 |      9,842 |        324 |        782 |     10,948 |
| JSON               |          3 |      9,682 |          0 |          3 |      9,685 |
| Markdown           |          3 |        162 |          0 |         59 |        221 |
| XML                |          1 |        104 |          0 |          1 |        105 |
| JSON with Comments |          2 |         19 |          0 |          1 |         20 |
| PostCSS            |          1 |          7 |          0 |          0 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                        |        110 |     19,816 |        324 |        846 |     20,986 |
| . (Files)                                                                |          8 |      9,866 |          3 |         66 |      9,935 |
| public                                                                   |          2 |        119 |          0 |          2 |        121 |
| public (Files)                                                           |          1 |         15 |          0 |          1 |         16 |
| public/assets                                                            |          1 |        104 |          0 |          1 |        105 |
| src                                                                      |        100 |      9,831 |        321 |        778 |     10,930 |
| src/components                                                           |         15 |      2,597 |        250 |        217 |      3,064 |
| src/components (Files)                                                   |         14 |      2,515 |        250 |        211 |      2,976 |
| src/components/modals                                                    |          1 |         82 |          0 |          6 |         88 |
| src/contexts                                                             |          1 |        174 |          4 |         34 |        212 |
| src/guards                                                               |          1 |         41 |          6 |         11 |         58 |
| src/hocs                                                                 |          1 |          6 |          0 |          2 |          8 |
| src/hooks                                                                |          5 |         75 |          2 |         20 |         97 |
| src/layouts                                                              |          7 |        709 |         12 |         40 |        761 |
| src/layouts/auth                                                         |          1 |        106 |          1 |          4 |        111 |
| src/layouts/dashboard                                                    |          6 |        603 |         11 |         36 |        650 |
| src/pages                                                                |         14 |      1,454 |         28 |        118 |      1,600 |
| src/pages (Files)                                                        |         12 |      1,068 |          9 |        102 |      1,179 |
| src/pages/auth                                                           |          2 |        386 |         19 |         16 |        421 |
| src/sections                                                             |         27 |      3,170 |         11 |        189 |      3,370 |
| src/sections/accounts                                                    |          2 |        219 |          0 |         14 |        233 |
| src/sections/companies                                                   |          2 |        117 |          0 |          6 |        123 |
| src/sections/members                                                     |          2 |        182 |          0 |          9 |        191 |
| src/sections/overview                                                    |         10 |        882 |          1 |         49 |        932 |
| src/sections/profile                                                     |          2 |        251 |          0 |         17 |        268 |
| src/sections/projects                                                    |          3 |        759 |          7 |         48 |        814 |
| src/sections/requisitions                                                |          4 |        586 |          3 |         38 |        627 |
| src/sections/settings                                                    |          2 |        174 |          0 |          8 |        182 |
| src/services                                                             |         12 |        682 |          6 |        100 |        788 |
| src/services (Files)                                                     |          4 |        516 |          5 |         51 |        572 |
| src/services/api                                                         |          8 |        166 |          1 |         49 |        216 |
| src/styles                                                               |          1 |          7 |          0 |          0 |          7 |
| src/theme                                                                |          6 |        536 |          1 |         19 |        556 |
| src/utils                                                                |         10 |        380 |          1 |         28 |        409 |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                 | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/sas/Desktop/web/.eslintrc.json                                    | JSON with Comments |         14 |          0 |          1 |         15 |
| /Users/sas/Desktop/web/CHANGELOG.md                                      | Markdown           |         64 |          0 |         25 |         89 |
| /Users/sas/Desktop/web/LICENSE.md                                        | Markdown           |         17 |          0 |          5 |         22 |
| /Users/sas/Desktop/web/README.md                                         | Markdown           |         81 |          0 |         29 |        110 |
| /Users/sas/Desktop/web/jsconfig.json                                     | JSON with Comments |          5 |          0 |          0 |          5 |
| /Users/sas/Desktop/web/next.config.js                                    | JavaScript         |         18 |          3 |          4 |         25 |
| /Users/sas/Desktop/web/package-lock.json                                 | JSON               |      9,611 |          0 |          1 |      9,612 |
| /Users/sas/Desktop/web/package.json                                      | JSON               |         56 |          0 |          1 |         57 |
| /Users/sas/Desktop/web/public/assets/auth-illustration.svg               | XML                |        104 |          0 |          1 |        105 |
| /Users/sas/Desktop/web/public/manifest.json                              | JSON               |         15 |          0 |          1 |         16 |
| /Users/sas/Desktop/web/src/components/add-accountcode-modal.js           | JavaScript         |         75 |          0 |          6 |         81 |
| /Users/sas/Desktop/web/src/components/auth-code-input.js                 | JavaScript         |         33 |          0 |          8 |         41 |
| /Users/sas/Desktop/web/src/components/auth-code-modal.js                 | JavaScript         |         57 |          0 |          7 |         64 |
| /Users/sas/Desktop/web/src/components/chart.js                           | JavaScript         |          7 |          0 |          3 |         10 |
| /Users/sas/Desktop/web/src/components/chat-modal.js                      | JavaScript         |        174 |          0 |         13 |        187 |
| /Users/sas/Desktop/web/src/components/check-status.js                    | JavaScript         |         34 |          0 |         10 |         44 |
| /Users/sas/Desktop/web/src/components/create-req.js                      | JavaScript         |        661 |        211 |         53 |        925 |
| /Users/sas/Desktop/web/src/components/edit-req.js                        | JavaScript         |         49 |          0 |          6 |         55 |
| /Users/sas/Desktop/web/src/components/logo.js                            | JavaScript         |         24 |          0 |          3 |         27 |
| /Users/sas/Desktop/web/src/components/modals/add-budgetcode-modal.js     | JavaScript         |         82 |          0 |          6 |         88 |
| /Users/sas/Desktop/web/src/components/notifications-dropdown.js          | JavaScript         |         49 |          4 |          6 |         59 |
| /Users/sas/Desktop/web/src/components/req-details-modal.js               | JavaScript         |        324 |          0 |         24 |        348 |
| /Users/sas/Desktop/web/src/components/req-modal.js                       | JavaScript         |        973 |         35 |         63 |      1,071 |
| /Users/sas/Desktop/web/src/components/scrollbar.js                       | JavaScript         |          3 |          0 |          2 |          5 |
| /Users/sas/Desktop/web/src/components/severity-pill.js                   | JavaScript         |         52 |          0 |          7 |         59 |
| /Users/sas/Desktop/web/src/contexts/auth-context.js                      | JavaScript         |        174 |          4 |         34 |        212 |
| /Users/sas/Desktop/web/src/guards/auth-guard.js                          | JavaScript         |         41 |          6 |         11 |         58 |
| /Users/sas/Desktop/web/src/hocs/with-auth-guard.js                       | JavaScript         |          6 |          0 |          2 |          8 |
| /Users/sas/Desktop/web/src/hooks/use-auth.js                             | JavaScript         |          3 |          0 |          2 |          5 |
| /Users/sas/Desktop/web/src/hooks/use-mocked-user.js                      | JavaScript         |          8 |          2 |          1 |         11 |
| /Users/sas/Desktop/web/src/hooks/use-nprogress.js                        | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/sas/Desktop/web/src/hooks/use-popover.js                          | JavaScript         |         21 |          0 |          6 |         27 |
| /Users/sas/Desktop/web/src/hooks/use-selection.js                        | JavaScript         |         28 |          0 |          8 |         36 |
| /Users/sas/Desktop/web/src/layouts/auth/layout.js                        | JavaScript         |        106 |          1 |          4 |        111 |
| /Users/sas/Desktop/web/src/layouts/dashboard/account-popover.js          | JavaScript         |         74 |          0 |          5 |         79 |
| /Users/sas/Desktop/web/src/layouts/dashboard/config.js                   | JavaScript         |         86 |          9 |          2 |         97 |
| /Users/sas/Desktop/web/src/layouts/dashboard/layout.js                   | JavaScript         |         54 |          1 |          8 |         63 |
| /Users/sas/Desktop/web/src/layouts/dashboard/side-nav-item.js            | JavaScript         |         88 |          0 |          5 |         93 |
| /Users/sas/Desktop/web/src/layouts/dashboard/side-nav.js                 | JavaScript         |        180 |          1 |          9 |        190 |
| /Users/sas/Desktop/web/src/layouts/dashboard/top-nav.js                  | JavaScript         |        121 |          0 |          7 |        128 |
| /Users/sas/Desktop/web/src/pages/404.js                                  | JavaScript         |         78 |          0 |          3 |         81 |
| /Users/sas/Desktop/web/src/pages/_app.js                                 | JavaScript         |         53 |          0 |          9 |         62 |
| /Users/sas/Desktop/web/src/pages/_document.js                            | JavaScript         |         99 |          1 |          9 |        109 |
| /Users/sas/Desktop/web/src/pages/accounts.js                             | JavaScript         |         75 |          2 |         10 |         87 |
| /Users/sas/Desktop/web/src/pages/auth/login.js                           | JavaScript         |        226 |         19 |         11 |        256 |
| /Users/sas/Desktop/web/src/pages/auth/register.js                        | JavaScript         |        160 |          0 |          5 |        165 |
| /Users/sas/Desktop/web/src/pages/bin.js                                  | JavaScript         |         35 |          0 |          4 |         39 |
| /Users/sas/Desktop/web/src/pages/index.js                                | JavaScript         |         70 |          6 |          6 |         82 |
| /Users/sas/Desktop/web/src/pages/members.js                              | JavaScript         |        196 |          0 |         24 |        220 |
| /Users/sas/Desktop/web/src/pages/profile.js                              | JavaScript         |         44 |          0 |          4 |         48 |
| /Users/sas/Desktop/web/src/pages/projects.js                             | JavaScript         |         59 |          0 |          6 |         65 |
| /Users/sas/Desktop/web/src/pages/requisitions.js                         | JavaScript         |        142 |          0 |         15 |        157 |
| /Users/sas/Desktop/web/src/pages/retirements.js                          | JavaScript         |         47 |          0 |          7 |         54 |
| /Users/sas/Desktop/web/src/pages/vendors.js                              | JavaScript         |        170 |          0 |          5 |        175 |
| /Users/sas/Desktop/web/src/sections/accounts/accounts-table.js           | JavaScript         |        121 |          0 |          7 |        128 |
| /Users/sas/Desktop/web/src/sections/accounts/add-account.js              | JavaScript         |         98 |          0 |          7 |        105 |
| /Users/sas/Desktop/web/src/sections/companies/companies-search.js        | JavaScript         |         22 |          0 |          2 |         24 |
| /Users/sas/Desktop/web/src/sections/companies/company-card.js            | JavaScript         |         95 |          0 |          4 |         99 |
| /Users/sas/Desktop/web/src/sections/members/members-search.js            | JavaScript         |         21 |          0 |          2 |         23 |
| /Users/sas/Desktop/web/src/sections/members/members-table.js             | JavaScript         |        161 |          0 |          7 |        168 |
| /Users/sas/Desktop/web/src/sections/overview/overview-budget.js          | JavaScript         |         82 |          0 |          4 |         86 |
| /Users/sas/Desktop/web/src/sections/overview/overview-latest-orders.js   | JavaScript         |        104 |          0 |          4 |        108 |
| /Users/sas/Desktop/web/src/sections/overview/overview-latest-products.js | JavaScript         |         95 |          0 |          5 |        100 |
| /Users/sas/Desktop/web/src/sections/overview/overview-sales.js           | JavaScript         |        154 |          0 |          6 |        160 |
| /Users/sas/Desktop/web/src/sections/overview/overview-tasks-progress.js  | JavaScript         |         86 |          1 |          5 |         92 |
| /Users/sas/Desktop/web/src/sections/overview/overview-total-approved.js  | JavaScript         |         49 |          0 |          4 |         53 |
| /Users/sas/Desktop/web/src/sections/overview/overview-total-customers.js | JavaScript         |         82 |          0 |          5 |         87 |
| /Users/sas/Desktop/web/src/sections/overview/overview-total-profit.js    | JavaScript         |         45 |          0 |          4 |         49 |
| /Users/sas/Desktop/web/src/sections/overview/overview-total-raised.js    | JavaScript         |         49 |          0 |          4 |         53 |
| /Users/sas/Desktop/web/src/sections/overview/overview-traffic.js         | JavaScript         |        136 |          0 |          8 |        144 |
| /Users/sas/Desktop/web/src/sections/profile/account-profile-details.js   | JavaScript         |        195 |          0 |         14 |        209 |
| /Users/sas/Desktop/web/src/sections/profile/account-profile.js           | JavaScript         |         56 |          0 |          3 |         59 |
| /Users/sas/Desktop/web/src/sections/projects/account-codes-table.js      | JavaScript         |        214 |          0 |         15 |        229 |
| /Users/sas/Desktop/web/src/sections/projects/budget-codes-table.js       | JavaScript         |        233 |          1 |         16 |        250 |
| /Users/sas/Desktop/web/src/sections/projects/project-codes-table.js      | JavaScript         |        312 |          6 |         17 |        335 |
| /Users/sas/Desktop/web/src/sections/requisitions/bin-table.js            | JavaScript         |        107 |          1 |         11 |        119 |
| /Users/sas/Desktop/web/src/sections/requisitions/filter-requisitions.js  | JavaScript         |        105 |          0 |          3 |        108 |
| /Users/sas/Desktop/web/src/sections/requisitions/requisitions-table.js   | JavaScript         |        294 |          2 |         17 |        313 |
| /Users/sas/Desktop/web/src/sections/requisitions/retirements-table.js    | JavaScript         |         80 |          0 |          7 |         87 |
| /Users/sas/Desktop/web/src/sections/settings/settings-notifications.js   | JavaScript         |        102 |          0 |          3 |        105 |
| /Users/sas/Desktop/web/src/sections/settings/settings-password.js        | JavaScript         |         72 |          0 |          5 |         77 |
| /Users/sas/Desktop/web/src/services/api/accounts.api.js                  | JavaScript         |          6 |          0 |          6 |         12 |
| /Users/sas/Desktop/web/src/services/api/api-helper.js                    | JavaScript         |         54 |          0 |          8 |         62 |
| /Users/sas/Desktop/web/src/services/api/bin.api.js                       | JavaScript         |          0 |          0 |          1 |          1 |
| /Users/sas/Desktop/web/src/services/api/message-chat.api.js              | JavaScript         |         21 |          0 |          4 |         25 |
| /Users/sas/Desktop/web/src/services/api/profile.api.js                   | JavaScript         |          0 |          0 |          1 |          1 |
| /Users/sas/Desktop/web/src/services/api/project-codes.api.js             | JavaScript         |          0 |          0 |          1 |          1 |
| /Users/sas/Desktop/web/src/services/api/requisition.api.js               | JavaScript         |         33 |          1 |         21 |         55 |
